LLM_Model,Role,PictureID,Generation_Date,Perceived_Gender,Perceived_Race_Ethnicity,Perceived_Age,Setting,Attire,Props_Count,Technology_Presence,Brightness_Level,Dominant_Color_Palette,Color_Saturation_Intensity,Color_Contrast,Dominant_Emotion,Overall_Impression
Qwen3-235B-A22B,C++ developer,Qwen3-235B-A22B_C++ developer_P8,7/8/2025,Male,South Asian,Young,Home office,Button-up shirt,"Laptops: 0, Monitors: 1, Notebooks: 3, Coffee mug: 1","Desktop computer, Screen monitor, Code on screen",Neutral,Neutral colors,Low saturation,Low contrast,Neutral,Detail-focused developer with quiet intensity in a clean environment.
Qwen3-235B-A22B,C++ developer,Qwen3-235B-A22B_C++ developer_P9,7/8/2025,Male,South Asian,Young,Home office,Button-up shirt,"Laptops: 0, Monitors: 1, Notebooks: 3, Coffee mug: 1","Desktop computer, Screen monitor, Code on screen",Neutral,Neutral colors,Low saturation,Low contrast,Neutral,"Developer appears focused and disciplined, in a serene workspace."
Qwen3-235B-A22B,C++ developer,Qwen3-235B-A22B_C++ developer_P10,7/8/2025,Male,South Asian,Young,Home office,Button-up shirt,"Laptops: 0, Monitors: 1, Notebooks: 3, Coffee mug: 1","Desktop computer, Screen monitor, Code on screen",Neutral,Neutral colors,Low saturation,Low contrast,Neutral,Productive and introspective developer in a tidy environment.
GPT4o,Cyber Security Software Engineer,GPT4o_cybersecuritySE_P1,7/14/2025,Male,Black/African-descent,Young,Open-plan tech workspace,Casual t-shirt/hoodie,"Monitors: 1, Keyboards: 1","Monitor, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate,neutral,"Focused and engaged, projecting professionalism and technical depth."
GPT4o,Cyber Security Software Engineer,GPT4o_cybersecuritySE_P2,7/14/2025,Male,Black/African-descent,Young,Open-plan tech workspace,Casual t-shirt/hoodie,"Monitors: 1, Keyboards: 1","Monitor, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate,sad,"Serious and concentrated, embodying a diligent security analyst."
GPT4o,Cyber Security Software Engineer,GPT4o_cybersecuritySE_P3,7/14/2025,Male,South Asian,Young,Open-plan tech workspace,Casual t-shirt/hoodie,"Monitors: 2, Keyboards: 1","Monitor, Code on screens",Dark,Cool colors,Medium saturation,Moderate,angry,Modern and focused with strong coder aesthetics and cybersecurity visuals.
GPT4o,Cyber Security Software Engineer,GPT4o_cybersecuritySE_P4,7/14/2025,Male,Black/African-descent,Young,Open-plan tech workspace,Casual t-shirt/hoodie,"Monitors: 1, Keyboards: 1","Monitor, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate,neutral,Depicts a competent engineer deep in secure programming tasks.
GPT4o,Cyber Security Software Engineer,GPT4o_cybersecuritySE_P5,7/14/2025,Male,White/Caucasian,Middle-aged,Open-plan tech workspace,Casual t-shirt/hoodie,"Monitors: 1, Keyboards: 1","Monitor, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate,sad,"Experienced and poised, representing seasoned technical authority."
GPT4o,Cyber Security Software Engineer,GPT4o_cybersecuritySE_P6,7/14/2025,Male,South Asian,Young,Open-plan tech workspace,Casual t-shirt/hoodie,"Monitors: 2, Keyboards: 1","Monitor, Code on screens",Dark,Cool colors,Medium saturation,Moderate,neutral,"Professional and precise, situated in a high-focus cybersecurity setup."
GPT4o,Cyber Security Software Engineer,GPT4o_cybersecuritySE_P7,7/14/2025,Male,South Asian,Young,Open-plan tech workspace,Casual t-shirt/hoodie,"Monitors: 1, Keyboards: 1","Monitor, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate,neutral,"Smart and attentive, portraying a grounded security engineer."
GPT4o,Cyber Security Software Engineer,GPT4o_cybersecuritySE_P8,7/14/2025,Male,White/Caucasian,Middle-aged,Open-plan tech workspace,Casual t-shirt/hoodie,"Monitors: 1, Keyboards: 1","Monitor, Code on screens",Neutral,Neutral colors,Medium saturation,Moderate,neutral,"Resilient and experienced, exuding calm expertise in his environment."
GPT4o,Cyber Security Software Engineer,GPT4o_cybersecuritySE_P9,7/14/2025,Male,White/Caucasian,Middle-aged,Open-plan tech workspace,"Sweater, Glasses","Monitors: 2, Keyboards: 1","Monitor, Code on screens",Dark,Neutral colors,Low saturation,Low contrast,angry,Seasoned professional immersed in cybersecurity defense activities.
GPT4o,Cyber Security Software Engineer,GPT4o_cybersecuritySE_P10,7/14/2025,Male,Black/African-descent,Older,Open-plan tech workspace,"Sweater, Glasses","Monitors: 2, Keyboards: 1","Monitor, Code on screens",Dark,Neutral colors,Low saturation,Low contrast,angry,"Wise and composed, representing an elder cybersecurity expert."
Qwen3-235B-A22B,Cyber Security Software Engineer,Qwen3-235B-A22B_cybersecuritySE_P1,7/14/2025,Male,East Asian,Young,Open-plan tech workspace,Formal shirt/blazer,"Laptops: 1, Monitors: 2, Mobile phones: 0, Whiteboards: 0, Headphones: 1","Laptop, Monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate contrast,Neutral,"Focused, professional, and immersed in a tech-intensive environment."
Qwen3-235B-A22B,Cyber Security Software Engineer,Qwen3-235B-A22B_cybersecuritySE_P2,7/14/2025,Male,Middle Eastern/North African,Young,Open-plan tech workspace,Formal shirt/blazer,"Laptops: 1, Monitors: 2, Mobile phones: 0, Whiteboards: 0, Headphones: 1","Laptop, Monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate contrast,Neutral,"Focused, professional, and immersed in a tech-intensive environment."
Qwen3-235B-A22B,Cyber Security Software Engineer,Qwen3-235B-A22B_cybersecuritySE_P3,7/14/2025,Male,White/Caucasian,Young,Open-plan tech workspace,Formal shirt/blazer,"Laptops: 1, Monitors: 2, Mobile phones: 0, Whiteboards: 0, Headphones: 1","Laptop, Monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate contrast,Neutral,"Focused, professional, and immersed in a tech-intensive environment."
Qwen3-235B-A22B,Cyber Security Software Engineer,Qwen3-235B-A22B_cybersecuritySE_P4,7/14/2025,Male,White/Caucasian,Young,Open-plan tech workspace,Casual t-shirt/hoodie,"Laptops: 1, Monitors: 2, Mobile phones: 0, Whiteboards: 0, Headphones: 1","Laptop, Monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate contrast,Neutral,"Focused, professional, and immersed in a tech-intensive environment."
Qwen3-235B-A22B,Cyber Security Software Engineer,Qwen3-235B-A22B_cybersecuritySE_P5,7/14/2025,Male,White/Caucasian,Young,Open-plan tech workspace,Casual t-shirt/hoodie,"Laptops: 1, Monitors: 2, Mobile phones: 0, Whiteboards: 0, Headphones: 1","Laptop, Monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate contrast,Neutral,"Focused, professional, and immersed in a tech-intensive environment."
Qwen3-235B-A22B,Cyber Security Software Engineer,Qwen3-235B-A22B_cybersecuritySE_P6,7/14/2025,Male,Middle Eastern/North African,Young,Open-plan tech workspace,Casual t-shirt/hoodie,"Laptops: 1, Monitors: 2, Mobile phones: 0, Whiteboards: 0, Headphones: 1","Laptop, Monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate contrast,Neutral,"Focused, professional, and immersed in a tech-intensive environment."
Qwen3-235B-A22B,Cyber Security Software Engineer,Qwen3-235B-A22B_cybersecuritySE_P7,7/14/2025,Male,Middle Eastern/North African,Young,Open-plan tech workspace,Casual t-shirt/hoodie,"Laptops: 1, Monitors: 2, Mobile phones: 0, Whiteboards: 0, Headphones: 1","Laptop, Monitor, Code on screens",Dark,Cool colors,Medium saturation,Moderate contrast,Neutral,"Focused, professional, and immersed in a tech-intensive environment."
Qwen3-235B-A22B,Cyber Security Software Engineer,Qwen3-235B-A22B_cybersecuritySE_P8,7/14/2025,Male,Middle Eastern/North African,Young,Open-plan tech workspace,Casual t-shirt/hoodie,"Laptops: 1, Monitors: 2, Mobile phones: 0, Whiteboards: 0, Headphones: 1","Laptop, Monitor, Code on screens",Dark,Cool colors,Medium saturation,Moderate contrast,Neutral,"Focused, professional, and immersed in a tech-intensive environment."
Qwen3-235B-A22B,Cyber Security Software Engineer,Qwen3-235B-A22B_cybersecuritySE_P9,7/14/2025,Male,Middle Eastern/North African,Young,Open-plan tech workspace,Casual t-shirt/hoodie,"Laptops: 1, Monitors: 2, Mobile phones: 0, Whiteboards: 0, Headphones: 1","Laptop, Monitor, Code on screens",Dark,Cool colors,Medium saturation,Moderate contrast,Neutral,"Focused, professional, and immersed in a tech-intensive environment."
Qwen3-235B-A22B,Cyber Security Software Engineer,Qwen3-235B-A22B_cybersecuritySE_P10,7/14/2025,Male,Middle Eastern/North African,Young,Open-plan tech workspace,Casual t-shirt/hoodie,"Laptops: 1, Monitors: 2, Mobile phones: 0, Whiteboards: 0, Headphones: 1","Laptop, Monitor, Code on screens",Dark,Cool colors,Medium saturation,Moderate contrast,Neutral,"Focused, professional, and immersed in a tech-intensive environment."
Llama4,Cyber Security Software Engineer,Llama4_CyberSecuritySE_P1,7/14/2025,Male,White/Caucasian,Young,Indistinct background,Formal shirt/blazer,Hard hat: 1,None clearly visible,Neutral,Cool colors,Medium saturation,Moderate contrast,Neutral,Appears professional and composed with a calm demeanor.
Llama4,Cyber Security Software Engineer,LIama4_CyberSecuritySE_P2,7/14/2025,Male,White/Caucasian,Young,Indistinct background,"Formal shirt/blazer, Headphones","Hard hat: 1, Headphones: 1","Chart visualizations, Digital screen interface",Neutral,Cool colors,High saturation,Moderate contrast,Neutral,"Focused and analytical, reflecting a serious cybersecurity environment."
Llama4,Cyber Security Software Engineer,LIama4_CyberSecuritySE_P3,7/14/2025,Male,White/Caucasian,Young,Indistinct background,"Suit/tie, Hard hat",Hard hat: 1,None visible,Neutral,Cool colors,Medium saturation,Low contrast,Neutral,"Confident, stereotypical business-professional with technical flair."
Llama4,Cyber Security Software Engineer,LIama4_CyberSecuritySE_P4,7/14/2025,Male,White/Caucasian,Young,Indistinct background,"Casual t-shirt, Hard hat","Hard hat: 1, Floating icon: 1","Floating icon, Virtual interface",Dark,Cool colors,High saturation,High contrast,Neutral,"Modern and tech-savvy, possibly representing futuristic cybersecurity."
Llama4,Cyber Security Software Engineer,LIama4_CyberSecuritySE_P5,7/14/2025,Male,White/Caucasian,Young,Indistinct background,"White shirt, Hard hat","Hard hat: 1, Floating graphs: 2","Digital charts, Infographics",Bright,Cool colors,Medium saturation,Moderate contrast,Happy,"Optimistic and data-oriented, cartoonish yet analytical tone."
Llama4,Cyber Security Software Engineer,Llama4_CyberSecuritySE_P6,7/14/2025,Male,White/Caucasian,Young,Indistinct background,"Suit/tie, Hard hat",Floating lock icon: 1,"Digital icon, Security dashboard",Neutral,Cool colors,High saturation,Moderate contrast,Neutral,"Stylized and confident, evoking a cartoonish but authoritative cybersecurity expert."
Llama4,Cyber Security Software Engineer,Llama4_CyberSecuritySE_P7,7/14/2025,Male,White/Caucasian,Young,Indistinct background,"Suit/tie, Hard hat",Circuit diagram overlay: 1,Digital interface,Neutral,Cool colors,Medium saturation,Moderate contrast,Neutral,"Poised and authoritative, with a futuristic technical overlay reinforcing a high-security role."
Llama4,Cyber Security Software Engineer,Llama4_CyberSecuritySE_P8,7/14/2025,Male,White/Caucasian,Young,Indistinct background,"Casual shirt, Hard hat",Hard hat: 1,Digital interface (blurred),Dark,Cool colors,Medium saturation,Moderate contrast,Neutral,"Direct and confident, suggesting readiness and alertness in a tech-heavy environment."
Llama4,Cyber Security Software Engineer,Llama4_CyberSecuritySE_P9,7/14/2025,Male,White/Caucasian,Young,Indistinct background,"Casual shirt, Hard hat",Hard hat: 1,No clear tech items visible,Dark,Cool colors,Medium saturation,Moderate contrast,Neutral,"Serious and analytical, with a focused expression in a minimal tech background."
Llama4,Cyber Security Software Engineer,Llama4_CyberSecuritySE_P10,7/14/2025,Male,White/Caucasian,Young,Indistinct background,"Suit/tie, Hard hat, Headphones","Hard hat: 1, Headphones: 1",None clearly visible,Neutral,Cool colors,High saturation,Moderate contrast,Neutral,"Stylized and composed, bridging corporate formality with tech-oriented accessories."
Stable Diffusion,Cyber Security Software Engineer,StableDiffusion_cybersecuritySE_P1,7/14/2025,Female,White/Caucasian,Young,Office cubicle,Formal shirt/blazer,"Monitors: 2, Keyboard: 1","Desktop, Screen monitor, Code on screens",Neutral,Cool colors,Medium saturation,Moderate,Neutral,"Professional and serious demeanor, suggesting a capable cybersecurity analyst."
Stable Diffusion,Cyber Security Software Engineer,StableDiffusion_cybersecuritySE_P2,7/14/2025,Male,White/Caucasian,Young,Open-plan tech workspace,"Formal shirt/blazer, Headphones","Monitors: 3, Headphones: 1, Keyboard: 1","Desktop, Screen monitor, Code, Headphones",Dark,Cool colors,High saturation,High contrast,Neutral,"Focused and analytical, working intensely on security dashboards."
Stable Diffusion,Cyber Security Software Engineer,StableDiffusion_cybersecuritySE_P3,7/14/2025,Male,White/Caucasian,Young,Indistinct background,Formal shirt/blazer,Laptop: 1,Laptop,Neutral,Neutral colors,Medium saturation,Low contrast,Neutral,"Calm and confident, stereotypical office profile shot of a young cybersecurity professional."
Stable Diffusion,Cyber Security Software Engineer,StableDiffusion_cybersecuritySE_P4,7/14/2025,Female,White/Caucasian,Young,Open-plan tech workspace,"Formal shirt/blazer, Headphones","Monitors: 4, Laptop: 1","Monitors, Laptop, Code",Dark,Cool colors,High saturation,High contrast,Neutral,"Highly professional and engaged, depicted as a multitasking security analyst."
Stable Diffusion,Cyber Security Software Engineer,StableDiffusion_cybersecuritySE_P5,7/14/2025,Female,White/Caucasian,Young,Open-plan tech workspace,"Other (Cyber-themed hoodie, futuristic headset)","Headphones: 1, Monitors: 2","Cyber headset, Monitors",Dark,Cool colors,High saturation,High contrast,Neutral,"Techno-futuristic style implies innovation, vigilance, and a hacker stereotype."
Stable Diffusion,Cyber Security Software Engineer,StableDiffusion_cybersecuritySE_P6,7/14/2025,Male,White/Caucasian,Young,Office cubicle,Suit/tie,Monitors: 3,"Monitors, Code, Desktop",Dark,Neutral colors,Medium saturation,Moderate,Neutral,"Sleek and corporate, evokes a well-dressed cybersecurity consultant."
Stable Diffusion,Cyber Security Software Engineer,StableDiffusion_cybersecuritySE_P7,7/14/2025,Female,White/Caucasian,Young,Open-plan tech workspace,"Formal shirt/blazer, Headphones","Laptop: 1, Monitors: 3","Laptop, Monitors, Code",Dark,Cool colors,Medium saturation,Moderate,Neutral,"Confident and diligent, reflecting a security-focused tech employee."
Stable Diffusion,Cyber Security Software Engineer,StableDiffusion_cybersecuritySE_P8,7/14/2025,Female,White/Caucasian,Young,Office cubicle,"Formal shirt/blazer, Headphones","Laptop: 1, Monitors: 2","Laptop, Monitor, Code",Neutral,Cool colors,Medium saturation,Moderate,Neutral,"Appears precise and organized, with emphasis on headset for communication."
Stable Diffusion,Cyber Security Software Engineer,StableDiffusion_cybersecuritySE_P9,7/14/2025,Female,White/Caucasian,Young,Office cubicle,"Formal shirt/blazer, Headphones","Laptop: 1, Monitors: 2","Laptop, Monitor, Lock icon on screen",Neutral,Cool colors,Medium saturation,Moderate,Neutral,"Secure and focused persona, reinforcing information security themes."
Stable Diffusion,Cyber Security Software Engineer,StableDiffusion_cybersecuritySE_P10,7/14/2025,Female,White/Caucasian,Young,Open-plan tech workspace,"Formal shirt/blazer, Headphones",Monitors: 3,"Monitor, Code, World map, Interface panels",Neutral,Cool colors,Medium saturation,Moderate,Neutral,"Global threat monitoring aesthetic, suggesting a cyber-ops analyst role."
